77,2806,2855,34159,36963,66220,114600,40,-1,-1,-1,-1
78,12358,27973,31956,29429,69368,115300,41,1280,1440,29,32
79,29613,35772,14630,18231,60177,123700,34,1210,1410,27,33
80,1712,1765,22844,33946,66214,96500,29,1310,1510,30,34
81,2594,2918,24829,39913,69563,98200,32,-1,-1,-1,-1
82,6905,11648,30480,30658,70108,112700,34,1300,1490,29,33
83,3815,4023,26264,38394,64890,107500,33,1270,1460,29,32
84,22910,25057,15764,19558,64125,116300,33,1190,1400,28,33
85,2853,3030,31331,28876,71330,96800,34,1280,1450,28,33
86,2136,2249,26865,33335,66280,100400,41,1300,1480,29,32
87,28947,35242,13376,18824,61872,116000,37,1170,1350,25,32
88,31437,37380,15737,18690,63743,112600,43,1130,1360,25,32
89,1510,1574,43488,23828,64504,102600,52,1140,1380,28,32
90,12002,17003,29184,20647,66274,99600,36,1230,1420,28,32
91,6917,11789,32190,33203,72408,110400,49,1270,1440,28,32
92,2118,2450,34032,36872,68616,97900,15,-1,-1,-1,-1
93,4654,6642,40376,19515,65046,135500,48,-1,-1,-1,-1
94,4811,6209,25710,10725,52698,139600,56,1310,1450,28,32
95,34334,35807,12974,4843,18370,108000,52,1210,1410,27,32
96,3869,5721,31138,35487,70943,113200,34,1280,1470,29,33
97,2884,6330,36306,26972,60525,112800,63,1160,1420,23,29
98,45796,51848,17396,8760,39655,104000,50,1270,1480,26,31
99,30690,37606,14625,10076,44978,100700,54,1200,1370,26,31
100,5292,11824,35316,28295,65384,117800,33,1340,1520,30,33
101,2684,2835,27410,41746,69450,99700,25,1205,1400,27,31
102,1972,2123,29211,35704,71756,105700,42,1280,1440,27,32
103,53515,67929,20282,8748,53848,115700,71,1140,1360,25,30
104,2214,2267,32720,29135,68610,117500,37,-1,-1,-1,-1
105,1470,1490,31815,35130,69820,104900,36,1310,1500,30,33
106,8873,12384,34240,33035,69764,105300,21,1330,1490,30,33
107,4352,5543,35671,26565,66180,116600,44,1210,1380,27,31
108,26634,34440,20343,8261,44024,114000,70,1180,1360,25,30
109,2282,2401,31808,40346,71470,110900,34,1260,1420,28,32
110,2245,2254,36906,20967,65031,135800,61,1260,1450,27,32
111,1442,1640,25672,37710,68410,95300,38,1310,1500,29,33
112,2030,2440,46277,26169,67620,100600,32,1130,1370,25,31
113,6371,7592,34839,30596,70132,134100,43,1320,1500,28,32
114,2283,2440,27531,43377,70430,109700,34,-1,-1,-1,-1
115,21098,22370,19979,5891,39033,119500,35,1200,1380,26,31
116,3035,3137,24250,28573,58330,101900,43,1150,1400,25,31
117,43709,47119,30373,10060,51572,105500,50,1160,1340,25,30
118,32534,42699,13746,10703,41614,110000,57,1150,1380,25,31
119,590,927,32829,29417,62600,97400,6,-1,-1,-1,-1
120,2382,2422,28464,34171,69071,100100,49,-1,-1,-1,-1
121,49185,59837,17726,9730,46141,98600,48,1260,1450,27,31
122,2544,2900,28005,16173,47696,99700,85,1230,1410,27,32
123,40523,49577,20379,13896,47518,111000,58,1190,1400,-1,-1
124,6591,9618,40676,19787,64735,113300,52,1180,1360,26,31
125,3967,4396,35329,23282,59236,104900,70,1140,1320,23,29
